#SwordArtsParam=SWORD_ARTS_PARAM_ST
ID,Name,ActionId [0-36],ActionCorrection,ReserveArtPointType [0-3],UnusedField,reserveArtsPoint0,reserveArtsPoint1,reserveArtsPoint2,reserveArtsPoint3,DebugTextId,subFPCost,FPCost,FPCostLight,FpCostStrong,ShieldCategory [0-4],pad1
0,None,0,0,1,0,0,0,0,0,70000,0,0,0,0,0,-
1,None,0,0,1,0,-1,-1,-1,-1,70000,0,0,0,0,0,-
10,Weapon Skill,0,1,1,0,-1,-1,-1,-1,70006,-1,-1,-1,-1,0,-
60,Weapon Skill,0,1,1,0,-1,-1,-1,-1,70006,-1,-1,-1,-1,0,-
70,Weapon Skill,0,1,1,0,-1,-1,-1,-1,70006,-1,-1,-1,-1,0,-
80,Weapon Skill,0,1,1,0,-1,-1,-1,-1,70006,-1,-1,-1,-1,0,-
90,Parry,1,2,1,0,-1,-1,-1,-1,70001,-1,0,-1,-1,0,-
91,Parry,1,2,1,0,-1,-1,-1,-1,70001,-1,0,-1,-1,0,-
92,Spell Parry,1,2,1,0,-1,-1,-1,-1,70028,-1,0,-1,-1,0,-
93,Spell Parry,1,2,1,0,-1,-1,-1,-1,70028,-1,0,-1,-1,0,-
99,Parry,1,2,1,0,-1,-1,-1,-1,70001,-1,0,-1,-1,0,-
100,Quickstep,18,1,1,2,-1,-1,-1,-1,70011,-1,5,-1,-1,0,-
101,Blind Spot,24,2,1,2,-1,-1,-1,-1,70023,-1,10,-1,-1,0,-
102,Unleash Dragon,22,2,1,2,-1,-1,-1,-1,70030,-1,25,-1,-1,0,-
103,Guiding Light,24,2,1,2,-1,-1,-1,-1,70102,-1,9,-1,9,0,-
104,Blind Spot,22,2,1,2,-1,-1,-1,-1,70023,-1,25,-1,-1,0,-
105,Shield Splitter,24,2,1,2,-1,-1,-1,-1,70014,-1,12,-1,-1,0,-
106,Stance,4,2,1,2,-1,-1,-1,-1,70002,-1,0,2,3,0,-
107,Crystal Blade,36,2,1,2,-1,-1,-1,-1,70200,-1,3,2,3,0,-
108,Quickstep,18,1,1,2,-1,-1,-1,-1,70201,-1,5,-1,-1,0,-
199,pvpatch - Stance with recovery cancel,4,2,1,2,-1,-1,-1,-1,70002,-1,0,17,20,0,-
200,Stance,4,2,1,2,-1,-1,-1,-1,70002,-1,0,10,15,0,-
201,Stomp,2,2,1,2,-1,-1,-1,-1,70010,-1,13,-1,13,0,-
202,Guiding Light,24,2,1,2,-1,-1,-1,-1,70102,-1,6,-1,-1,0,-
203,Oath of Sunlight,24,2,1,2,-1,-1,-1,-1,620040,-1,30,-1,-1,0,-
204,Sacred Lothric Light,4,2,1,2,-1,-1,-1,-1,70038,-1,0,10,12,0,-
205,Stance,4,2,1,2,-1,-1,-1,-1,70002,-1,0,10,15,0,-
206,Lion Stance,32,2,1,2,-1,-1,-1,-1,70100,-1,0,10,15,0,-
207,Ember,32,2,1,2,-1,-1,-1,-1,70202,-1,0,7,10,0,-
300,Stance,4,2,1,2,-1,-1,-1,-1,70002,-1,0,10,15,0,-
301,Wrath of the Gods,22,2,1,2,-1,-1,-1,-1,70059,-1,30,-1,-1,0,-
302,Ember,22,2,1,2,-1,-1,-1,-1,70056,-1,18,-1,-1,0,-
303,Moonlight Vortex,22,2,1,2,-1,-1,-1,-1,70053,-1,18,-1,-1,0,-
304,Stance of Judgment,4,2,1,2,-1,-1,-1,-1,70054,-1,0,19,22,0,-
305,Sacred Light and Flame,4,2,1,2,-1,-1,-1,-1,70060,-1,0,15,15,0,-
306,Wolf Sword,4,2,1,2,-1,-1,-1,-1,70073,-1,0,12,17,0,-
307,Stomp,2,2,1,2,-1,-1,-1,-1,70010,-1,12,-1,17,0,-
308,Stomp,2,2,1,2,-1,-1,-1,-1,70010,-1,12,-1,15,0,-
309,Storm King,25,1,1,2,-1,-1,-1,-1,70069,-1,0,12,12,0,-
310,Perseverance,14,2,1,2,-1,-1,-1,-1,70021,-1,10,-1,-1,0,-
311,Elfriede's Blackflame,24,1,1,2,-1,-1,-1,-1,70101,-1,15,-1,-1,0,-
312,Blade of Peril,31,1,1,2,-1,-1,-1,-1,70203,-1,0,17,17,0,-
400,Stomp,2,2,1,2,-1,-1,-1,-1,70010,-1,10,-1,15,0,-
401,Parry,22,2,1,2,-1,-1,-1,-1,70001,-1,0,-1,-1,0,-
402,Charge,13,2,1,2,-1,-1,-1,-1,70008,-1,13,-1,13,0,-
403,Profaned Flame,2,2,1,2,-1,-1,-1,-1,70055,-1,10,-1,17,0,-
404,Flame of Lorian,2,2,1,2,-1,-1,-1,-1,70037,-1,10,-1,18,0,-
405,Stomp,2,2,1,2,-1,-1,-1,-1,70010,-1,10,-1,20,0,-
406,Stomp,2,2,1,2,-1,-1,-1,-1,70010,-1,10,-1,16,0,-
407,Stomp,2,2,1,2,-1,-1,-1,-1,70010,-1,10,-1,18,0,-
