#AtkParam_Pc=ATK_PARAM_ST
ID,Name,Hit0_Radius,Hit1_Radius,Hit2_Radius,Hit3_Radius,KnockbackDist,HitStopTime,spEffect0,spEffect1,spEffect2,spEffect3,spEffect4,Hit0_DmyPoly1,Hit1_DmyPoly1,Hit2_DmyPoly1,Hit3_DmyPoly1,Hit0_DmyPoly2,Hit1_DmyPoly2,Hit2_DmyPoly2,Hit3_DmyPoly2,Blowing Correction,AtkPhysCorrection,AtkMagCorrection,AtkFireCorrection,AtkThunCorrection,AtkStamCorrection,GuardAtkRateCorrection,GuardBreakCorrection,AtkThrowEscapeCorrection,AtkSuperArmorCorrection,AtkPhys,AtkMag,AtkFire,AtkThun,AtkStam,GuardAtkRate,GuardBreakRate,AtkSuperArmor,AtkThrowEscape,AtkObj,GuardStaminaCutRate,GuardRate,ThrowTypeID,Hit0_hitType,Hit1_hitType,Hit2_hitType,Hit3_hitType,hit0_Priority,hit1_Priority,hit2_Priority,hit3_Priority,damageLevel,mapHitType,GuardCutCancelRate,AtkAttribute,spAttribute,atkType,atkMaterial,atkSize,DefMaterial,DefSfxMaterial,HitSourceType,ThrowFlag,disableGuard,disableStaminaAttack,disableHitSpEffect,IgnoreNotifyMissSwingForAI,repeatHitSfx,IsArrowAtk,IsGhostAtk,isDisableNoDamage,atkPowForSfxSe,atkDirForSfxSe,opposeTarget,friendlyTarget,selfTarget,isChargeAtk,isShareHitList,isCheckObjPenetration,0x81,0x81,pad1,regainableSlotId,deathCauseId,decalId1,decalId2,spawnAiSoundId,HitAiSoundId,RumbleId0,RumbleId1,RumbleId2,RumbleId3,Hit0_VfxId,Hit0_DummyPolyId0,Hit0_DummyPolyId1,Hit1_VfxId1,Hit1_DummyPolyId0,Hit1_DummyPolyId1,Hit2_VfxId,Hit2_DummyPolyId0,Hit2_DummyPolyId1,Hit3_VfxId,Hit3_DummyPolyId0,Hit3_DummyPolyId1,Hit4_VfxId,Hit4_DummyPolyId0,Hit4_DummyPolyId1,Hit5_VfxId,Hit5_DummyPolyId0,Hit5_DummyPolyId1,Hit6_VfxId,Hit6_DummyPolyId0,Hit6_DummyPolyId1,Hit7_VfxId,Hit7_DummyPolyId0,Hit7_DummyPolyId1,Hit4_Radius,Hit5_Radius,Hit6_Radius,Hit7_Radius,Hit8_Radius,Hit9_Radius,Hit10_Radius,Hit11_Radius,Hit12_Radius,Hit13_Radius,Hit14_Radius,Hit15_Radius,Hit4_DmyPoly1,Hit5_DmyPoly1,Hit6_DmyPoly1,Hit7_DmyPoly1,Hit8_DmyPoly1,Hit9_DmyPoly1,Hit10_DmyPoly1,Hit11_DmyPoly1,Hit12_DmyPoly1,Hit13_DmyPoly1,Hit14_DmyPoly1,Hit15_DmyPoly1,Hit4_DmyPoly2,Hit5_DmyPoly2,Hit6_DmyPoly2,Hit7_DmyPoly2,Hit8_DmyPoly2,Hit9_DmyPoly2,Hit10_DmyPoly2,Hit11_DmyPoly2,Hit12_DmyPoly2,Hit13_DmyPoly2,Hit14_DmyPoly2,Hit15_DmyPoly2,Hit4_hitType,Hit5_hitType,Hit6_hitType,Hit7_hitType,Hit8_hitType,Hit9_hitType,Hit10_hitType,Hit11_hitType,Hit12_hitType,Hit13_hitType,Hit14_hitType,Hit15_hitType,0x174,0x178,0x17C,defMaterialVal0,defMaterialVal1,defMaterialVal2,atkDarkCorrection,atkDark,IsChargeAtk2,IsChargeAtk3,0x18A,0x18A,0x18A,0x18A,0x18A,0x18A,0x18B,physSpCorrection,magSpCorrection,fireSpCorrection,thunSpCorrection,damageLevelParameter,0x195,darkSpCorrection,atkElementCorrectId,pad2
0,Dummy Bullets -- ダミー弾丸,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,139,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,100,-1,-
4,Automatic Cyclic object destruction -- 自動巡回オブジェ破壊用,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,139,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-1,-
5,Dummy attack to keep bullets out -- 弾丸出し続ける用ダミー攻撃,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,2010,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,139,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,100,-1,-
6,,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,100,100,100,100,100,0,0,0,0,100,100,0,0,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,139,100,0,0,1,0,0,0,0,0,0,0,100,100,100,100,0,0,100,-1,-
8,,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,100,100,100,100,100,0,0,0,0,1000,1000,0,0,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,139,100,0,0,1,0,0,0,0,0,0,0,100,100,100,100,0,0,100,-1,-
10,Pc_ Common _ Egg attack -- PC_共通_卵攻撃,0.4,0,0,0,1.47,0,0,0,0,0,0,93,-1,-1,-1,-1,-1,-1,-1,0,100,100,100,100,100,100,0,100,0,100,0,0,0,40,100,0,100,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2010,2110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,139,100,0,0,1,0,0,0,0,0,0,0,100,100,100,100,0,0,100,-1,-
30,,3,0,0,0,1.47,0,0,0,0,0,0,9,-1,-1,-1,-1,-1,-1,-1,0,100,100,100,100,100,100,0,0,0,240,0,0,0,999,999,0,999,0,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2010,2110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,139,100,0,0,1,0,0,0,0,0,0,0,100,100,100,100,0,0,100,-1,-
40,Common attack [Ladder _ right Punch] -- 共通攻撃【ハシゴ_右パンチ】,0.5,0,0,0,0.66,0,0,0,0,0,0,1,-1,-1,-1,9,-1,-1,-1,0,100,100,100,100,100,9900,0,0,0,60,0,0,0,20,100,0,20,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,2010,2110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,139,100,0,0,1,0,0,0,0,0,0,0,100,100,100,100,0,0,100,-1,-
41,Common attack [ladder _ Right Kick] -- 共通攻撃【ハシゴ_右キック】,0.5,0,0,0,0.66,0,0,0,0,0,0,6,-1,-1,-1,9,-1,-1,-1,0,100,100,100,100,100,9900,0,0,0,60,0,0,0,20,100,0,20,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,2010,2110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,139,100,0,0,1,0,0,0,0,0,0,0,100,100,100,100,0,0,100,-1,-
42,Common attack [Ladder _ left Punch] -- 共通攻撃【ハシゴ_左パンチ】,0.5,0,0,0,0.66,0,0,0,0,0,0,2,-1,-1,-1,9,-1,-1,-1,0,100,100,100,100,100,9900,0,0,0,60,0,0,0,20,100,0,20,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,2010,2110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,139,100,0,0,1,0,0,0,0,0,0,0,100,100,100,100,0,0,100,-1,-
