#NpcThinkParam=NPC_THINK_PARAM_ST
ID,Name,logicId,battleGoalId,nearDist,midDist,farDist,OutDist,BackHomeLife_OnHitEneWal,goalID_ToCaution,idAttackCannotMove,goalID_toFind,callHelp_ActionAnimId,callHelp_CallActionId,eye_dist,ear_dist,ear_soundcutDist,nose_dist,maxBackhomeDist,backhomeDist,backhomeBattleDist,nonBattleActLife,BackHome_LookTargetTime,BackHome_LookTargetDist,SightTargetForgetTime,SoundTargetForgetTime,BattleStartDist,callHelp_MyPeerId,callHelp_CallPeerId,targetSys_DmgEffectRate,teamAttackEffectivity,eye_angX,eye_angY,State0,State1,callHelp_CallValidMinDistTarget,callHelp_CallValidRange,callHelp_ForgetTimeByArrival,callHelp_MinWaitTime,callHelp_MaxWaitTime,goalAction_ToCaution,goalAction_ToFind,callHelp_ReplyBehaviorType,disablePathMove,skipArrivalVisibleCheck,thinkAttrDoAdmirer,enableNaviFlg_Edge,enableNaviFlg_LargeSpace,enableNaviFlg_Ladder,enableNaviFlg_Hole,enableNaviFlg_Door,enableNaviFlg_InSideWall,enableNaviFlg_EdgeOrdinary,enableNaviFlg_reserve0,enableNaviFlagReserve,eyeDist_ForDark,battleStartDist_forDark,eyeDist_ForPitchDark,battleStartDist_forPitchDark,platoonReplyTime,platoonReplyAddRandomTime,eye_BackOffsetDist,eye_BeginDist,targetArriveDist,pointArriveDist,changeStateAction_ToFind,changeStateAction_ToCaution,changeStateAction_ToBattle,goalAction_ToDisappear,disableLocalSteering,actTypeOnFailedPath,interestCategory,goalAction_ToInterest,Unk1,ear_angX,ear_angY,changeStateAction_ToInterest,changeStateAction_ToNormal,Unk2,Unk3,Unk4,Unk5,Unk6,Unk7,pad
0,For testing -- テスト用,10000,11000,0,0,0,0,0,8,3000,0.1,-1,-1,20,0,0,0,75,50,15,1,7,12,0,16448,20,0,0,100,25,120,120,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,0,1,0,2,-
1,For not doing anything -- なにもしない用,11000,11000,0,0,0,0,0,8,0,0.1,0,0,30,0,0,0,9999,9998,6,1,7,12,0,16448,20,0,0,100,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,0,0,0,2,-
2,Atarisawari data (copy and paste recommended) -- あたりさわりのないデータ（コピペ元推奨）,10000,11000,0,0,0,0,5,8,3000,0.1,0,0,20,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,25,120,120,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
10,Logic for animation check: near -- アニメチェック用ロジック：近,10000,901010,0,0,0,0,0,8,3000,0.1,0,0,50,0,0,0,9999,9998,9999,1,7,12,0,16448,100,0,0,100,0,60,120,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,2,-
11,Logic for animation check: Far -- アニメチェック用ロジック：遠,10000,901010,0,0,0,0,0,8,3000,0.1,0,0,50,0,0,0,9999,9998,9999,1,7,12,0,16448,100,0,0,100,0,60,120,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,2,-
20,,10010,110000,0,0,0,0,5,8,3000,0.1,0,0,20,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,25,120,120,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,1,0,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,1,0,2,-
50,Ishizaki Test -- 石崎テスト,10000,10000,0,0,0,0,5,8,3000,0.1,0,0,20,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,25,120,120,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,1,0,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,1,0,2,-
100,Automatic patrol (default) -- 自動巡回用(デフォルト),1540,14000,0,0,0,0,5,8,3000,0.1,0,0,20,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,25,120,120,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,256,0,0,2,-
540,For automatic patrol (running) -- 自動巡回用(走り),1540,14000,0,0,0,0,5,8,3000,0.1,0,0,20,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,25,120,120,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,256,0,0,2,-
541,Automatic patrol (walking) -- 自動巡回用(歩き),1541,14000,0,0,0,0,5,8,3000,0.1,0,0,20,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,25,120,120,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,256,0,0,2,-
542,Automatic patrol (super dash) -- 自動巡回用(スーパーダッシュ),1542,14000,0,0,0,0,5,8,3000,0.1,0,0,20,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,25,120,120,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,256,0,0,2,-
10000,Collective Patrol dummy leader -- 集団巡回ダミーリーダー,20000,11000,0,0,0,0,0,8,0,0.1,0,0,15,0,0,0,9999,9998,9999,1,7,12,0,16448,15,0,0,100,0,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,256,0,0,2,-
10001,For funnels -- ファンネル用,10000,11000,0,0,0,0,5,8,3000,0,0,0,13,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,25,60,50,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,-
